length,gc_content,blast_score,bit_score
1653,0.4440411373260738,1554.0,2870.81
1654,0.4486094316807739,1554.0,2870.81
1651,0.4433676559660812,1554.0,2870.81
1658,0.45235223160434257,1554.0,2870.81
1644,0.45012165450121655,1554.0,2870.81
1648,0.4538834951456311,1554.0,2870.81
1674,0.449820788530466,1554.0,2870.81
1678,0.44934445768772346,1554.0,2870.81
1681,0.4479476502082094,1554.0,2870.81
1642,0.4403166869671133,1551.0,2865.27
1658,0.42460796139927626,1557.0,2876.35
1658,0.40651387213510254,1557.0,2876.35
1656,0.40881642512077293,1557.0,2876.35
1662,0.4055354993983153,1557.0,2876.35
